category,text
Shipping,Where is my order or package
Shipping,The tracking number is not working
Refund,I want my money back for this item
Refund,Please process a return for my purchase
Technical,I cannot login or the app is crashing
Technical,The website is showing a 404 error
Urgent,There is a fire or emergency help me
Urgent,Help there is a medical emergency
Feedback,I really love your service thanks
Feedback,The support team was very helpful
Sales,I want to buy a new subscription
Sales,How much does it cost
Sales,What is the price of the plan
Sales,I want to purchase the pro version